Q_0: , Q_1, Q_2:
 443,  548,  390
  31,  297,  935
 978,  983,  531
 531,  180,  828
 962,   32,   32
 273,  322,   99
 577,  554,  485
  14,   61,  972
 293,   53,  843
 105,  258,  741
 486,  821,  594
 762,  124,  879
 630,  458,  395
 804,  219,  172
 600,  941,  558
 819,  803,  527
 267,  399,  352
 358,  902,  680
  62,  108,  288
 985,  860,  169
 125,  561,  139
 750,   55,  937
 269,  339,  384
 416,  438,  518
  31,  984,   29
   0,   45,    3
 257,  736,  741
 864,  211,  204
 201,   19,   45
 750,   37,  971
 757,  317,  761
 949,  963,  716
   2,   82,   38
 108,  204,  931
 303,  692,  276
 315,  667,  799
 105,  905,  105
  44,  152,  236
 988,  949,  936
 198,   41,  858
 826,  174,  826
 646,  677,  495
 587,  669,  508
 803,  656,  502
  20,  168,  944
  28,  666,  979
 805,  912,  665
 986, 1000,  922
 291,  220,  424
 653,  968,  599
 128,   40,  178
 741,  889,  561
 286,   83,  939
 534,  346,  658
 417,  698,  378
  85,   78,  621
 865,  828,  357
  31,   30,   87
 963,  891,  147
 540,  236,  863
  44,  845,   48
  21,   52,  721
  32,    2,   20
  30,   21,  998
 881,   65,  933
 451,  481,  605
 521,  470,  475
 688,   39,  949
 234,  520,  685
 488,  606,  554
 289,  870,  271
 827,  855,  516
 344,   65,  956
 570,  767,  461
 402,  525,  226
 498,  718,  571
 362,  593,  624
 832,  542,  557
 967,  583,  437
 421,  880,  637
 439,  329,  597
 270,  556,  670
 866,  227,  791
 951,   28,   28
 643,  989,  618
 409,  206,  912
 889,  436,  617
 953,  951,  446
 947,  931,  826
 180,  408,  766
 999,  997,  136
 850,  984,  218
 113,  343,  817
 257,  102,  246
 460,  404,  534
 635,  779,  512
  50,   64,  368
  53,  818,   55
 528,  548,  538
 683,  429,  613
