This is a 1000 shot experiment on the Controlled X-Gate with 1000 loops
Pre:, Act: 
 632,  636
 539,  565
 338,  362
 638,  632
 479,  466
 685,  688
 237,  242
 334,  317
 508,  507
 244,  233
 575,  603
 141,  131
 432,  424
 481,  492
 291,  285
 613,  582
 310,  309
  15,   10
 499,  513
 287,  273
 883,  886
 501,  518
 284,  286
 178,  171
 447,  461
 106,  116
 287,  276
 502,  510
 812,  834
 229,  242
 768,  777
 902,  913
 897,  900
 616,  629
 877,  883
 972,  983
 861,  854
 671,  664
 732,  716
 935,  931
 632,  625
 534,  545
  24,   17
 511,  502
 833,  826
 344,  337
 452,  441
 850,  852
 484,  496
 467,  465
 570,  562
 578,  589
 588,  593
 819,  810
 925,  930
 395,  443
 465,  469
 841,  855
 352,  398
 319,  338
 816,  810
 564,  548
 241,  257
 787,  801
 572,  568
 443,  401
 151,  149
 220,  236
 500,  491
 491,  469
 402,  390
 427,  414
 932,  937
 115,  117
 328,  348
 927,  944
 422,  418
 624,  627
 616,  618
 349,  329
   1,    2
 476,  496
 310,  289
 562,  547
 439,  417
 545,  536
 254,  277
 501,  498
 458,  449
 519,  537
 902,  905
 888,  888
 545,  548
 770,  810
 487,  491
 341,  351
 782,  783
 403,  398
 249,  279
 602,  617
 284,  254
 580,  574
 478,  488
 545,  536
  66,   71
 617,  619
 473,  471
 594,  576
 492,  479
 866,  857
 328,  332
 451,  434
 231,  217
 629,  634
 474,  481
 485,  474
  42,   42
 485,  493
 965,  964
 499,  535
 905,  894
 395,  381
 995,  996
 542,  554
 868,  858
 232,  223
  91,  101
 275,  286
 340,  328
 858,  847
 588,  585
 243,  233
 633,  646
 230,  223
 830,  819
 875,  854
 501,  503
 590,  557
 576,  591
 479,  458
 387,  380
 454,  461
 446,  431
 412,  409
 277,  270
 461,  444
 483,  500
 318,  310
 773,  791
 377,  360
 485,  477
 561,  567
 767,  769
 766,  773
 572,  541
 519,  550
 545,  539
 626,  611
 343,  328
 239,  245
 681,  673
  29,   27
 441,  420
 833,  821
 408,  435
 400,  399
  57,   48
 565,  561
 459,  463
 793,  757
 484,  492
 825,  830
  80,   81
 238,  270
 516,  533
 401,  401
 277,  266
 560,  540
 413,  442
 613,  593
 434,  433
 361,  331
 481,  510
 336,  326
 584,  583
 511,  537
 561,  581
 401,  415
 447,  428
 228,  211
 313,  298
 138,  148
 310,  300
 404,  427
 633,  626
 524,  523
 303,  289
 531,  516
 176,  165
 531,  561
 661,  673
 542,  540
 503,  520
 551,  537
 504,  457
 435,  452
 481,  499
 297,  304
 206,  195
 369,  374
 133,  145
 700,  714
  11,   14
   5,    5
 191,  176
 320,  320
 408,  438
 696,  729
 574,  579
 298,  280
 789,  783
 402,  393
 995,  996
 845,  856
 212,  201
 527,  508
 645,  611
 707,  703
 406,  401
 103,  107
 940,  951
 375,  373
 287,  288
 213,  239
 477,  480
 188,  193
  61,   58
 567,  548
 317,  323
 515,  472
 201,  179
 943,  956
 505,  491
 909,  926
 737,  754
 306,  306
 515,  517
 495,  497
 344,  337
 808,  802
 509,  490
 500,  508
 390,  381
 611,  614
 269,  288
 445,  449
 780,  753
 374,  377
 511,  522
 282,  295
 542,  545
 780,  776
 687,  666
 894,  914
 522,  506
 872,  866
 610,  604
 444,  440
 207,  170
 120,  106
 397,  399
 836,  836
 233,  243
 985,  980
  92,   86
 479,  469
 822,  822
 251,  246
 645,  656
 110,  110
 423,  407
 801,  801
 471,  452
 432,  422
  69,   75
 442,  479
 565,  596
 528,  510
 794,  807
 313,  326
 537,  542
 488,  482
 494,  510
 137,  138
   3,    2
 252,  271
 297,  314
 998, 1000
 466,  488
 650,  652
 354,  368
 475,  506
 378,  406
  75,   75
 885,  868
 175,  170
 880,  882
  81,   80
 147,  167
 476,  465
 782,  786
 587,  601
  10,   14
 388,  369
 457,  470
 924,  944
 497,  513
 870,  875
 541,  550
 398,  388
 449,  440
 200,  184
 614,  636
 673,  719
 698,  713
 133,  133
 181,  175
 415,  410
 466,  481
 683,  686
 326,  330
 126,  152
 561,  536
 911,  919
 803,  792
 530,  538
 258,  243
 526,  534
 203,  212
 192,  200
 838,  835
 654,  665
 410,  398
 367,  375
 467,  430
 605,  615
 441,  490
 853,  864
 300,  304
 368,  353
 382,  375
 623,  628
 288,  299
 187,  192
 875,  870
 145,  136
 263,  298
 209,  218
 566,  559
  32,   32
 996,  998
 522,  538
 960,  962
 803,  803
 309,  319
 499,  507
 539,  535
 721,  718
  26,   34
 681,  682
 999, 1000
 471,  495
 152,  146
 182,  199
 157,  173
 467,  515
 944,  945
 485,  483
 157,  170
 554,  518
 989,  992
 235,  239
 461,  434
 567,  546
 741,  768
 308,  316
 618,  628
 494,  495
 661,  643
 243,  267
 826,  807
 426,  422
 621,  619
 959,  957
 235,  237
 945,  942
 888,  886
 333,  333
 333,  338
  72,   76
 327,  336
 699,  702
 575,  612
 945,  962
 710,  733
 230,  234
 931,  926
 380,  383
 173,  190
 548,  557
 925,  917
 171,  174
 490,  533
 511,  513
 223,  233
 461,  468
 536,  517
 154,  164
 429,  449
 422,  428
 659,  649
 164,  179
 985,  988
 120,  130
 545,  574
 966,  967
 633,  654
 798,  791
 509,  516
 431,  430
 204,  221
 393,  390
 899,  897
  23,   30
