Pre:, Ac1: 
 864,  872
 315,  322
 980,  983
  32,   32
 812,  823
 841,  849
 859,  853
 900,  925
 762,  772
  16,   16
 121,  145
 883,  885
 919,  917
 166,  194
 683,  683
 204,  180
 423,  401
 862,  864
 474,  478
 858,  853
  43,   39
 119,  124
  54,   62
 995,  996
 101,   93
 280,  276
 469,  492
 173,  197
 863,  858
 710,  728
 944,  942
 244,  233
  98,   92
 593,  587
 136,  118
 195,  167
  86,   92
 806,  803
 593,  613
 916,  918
 891,  883
 569,  572
 679,  675
 953,  951
 117,  114
 524,  510
 830,  832
 702,  706
 459,  471
 716,  704
 968,  972
 431,  414
 363,  335
 856,  851
 546,  547
 389,  389
 805,  809
  15,   21
  38,   29
 154,  170
 557,  560
 275,  268
 876,  891
 219,  215
 158,  161
 391,  372
 224,  209
 717,  734
 226,  245
 446,  429
 439,  437
 426,  437
 754,  744
 710,  721
 589,  567
 957,  955
 306,  326
 964,  958
 577,  603
 688,  699
 330,  326
 583,  556
 245,  245
 562,  571
 628,  628
 924,  924
 932,  931
 572,  583
 577,  585
 787,  789
 949,  943
 911,  911
 832,  851
 546,  545
 647,  647
 702,  700
 735,  758
  47,   45
 172,  178
 238,  231
