This is a 250 shot experiment on the Fredkin Gate with 1000 loops
Pre:, Ac1: 
 166,  165
 242,  246
  74,   79
 113,  128
  56,   56
   4,    6
 219,  215
 243,  241
 214,  220
 140,  142
 169,  162
  90,   86
 235,  236
  54,   60
 125,  125
   3,    4
 181,  182
 171,  178
 111,  115
  60,   58
 183,  189
 217,  214
 198,  211
 143,  140
  62,   64
 178,  184
 161,  165
 187,  189
 150,  146
 224,  220
  98,  102
  30,   39
  37,   37
 223,  226
 227,  233
   8,   12
  94,   87
   4,    2
  88,   88
  75,   82
  83,   87
 201,  199
  27,   29
 101,  100
 218,  217
 148,  147
 208,  211
 114,  112
 227,  235
  32,   38
  11,   14
   2,    2
 163,  169
 226,  235
 243,  247
  88,  100
  37,   39
 231,  234
  82,   88
 153,  150
 154,  155
 161,  163
 218,  214
 123,  120
 241,  238
  98,   75
  28,   24
 217,  212
 235,  232
  68,   58
 242,  241
 137,  136
 178,  173
   7,    8
   8,    7
 173,  167
  14,   22
 114,  118
  34,   43
 150,  144
  11,    6
   0,    0
 172,  170
 134,  121
 235,  240
  83,   74
 187,  197
  26,   28
  36,   37
 233,  231
 221,  218
  38,   36
 128,  108
  15,   13
 230,  230
  44,   47
 208,  208
 237,  237
 244,  243
 249,  249
  21,   26
 132,  129
 219,  221
 129,  135
 146,  144
  28,   21
 143,  135
  58,   62
  28,   37
 120,  116
   1,    2
  77,   64
 199,  200
  39,   36
  98,  101
 119,  114
 145,  148
 212,  215
 220,  223
 189,  186
 178,  168
 191,  192
  55,   51
 193,  203
 222,  216
 243,  244
  35,   44
  84,   77
  64,   65
  29,   28
 121,  127
 128,  130
 216,  217
 171,  167
  25,   27
  28,   24
  86,   85
  78,   75
 191,  194
 103,  121
   1,    0
 186,  198
  58,   66
 167,  158
  53,   51
 229,  228
  83,   90
  68,   65
 168,  181
  31,   37
 205,  212
 113,  109
 152,  161
  14,   14
   6,    6
  68,   72
  12,   14
 112,  102
 243,  245
  64,   78
 147,  139
  54,   44
  56,   45
 133,  141
  98,   91
 211,  215
  96,  109
 115,  119
 137,  149
  19,   14
 249,  250
  63,   76
 108,  128
 224,  226
  85,   88
 154,  157
  52,   41
 162,  158
 111,  116
 203,  207
 213,  223
  52,   63
  40,   40
  69,   69
 194,  200
 119,  127
 218,  215
  42,   44
 229,  230
  67,   71
  90,   89
 226,  221
 204,  214
   7,    6
 231,  226
  91,   82
  18,   12
  46,   41
 209,  205
 156,  160
 218,  218
 242,  243
   6,    4
   0,    1
 205,  206
   8,   10
 226,  218
  43,   49
 237,  236
 150,  146
  71,   77
 105,  105
 199,  198
  27,   29
  59,   62
  67,   63
 205,  203
 215,  226
  89,  102
 186,  183
  35,   42
 150,  155
   4,    2
   6,    7
  76,   61
  91,   91
  82,   88
 153,  157
 213,  211
  44,   40
  30,   27
  63,   62
 220,  213
 127,  135
 200,  199
 133,  124
 158,  177
 185,  179
  45,   41
   9,   12
   7,    6
 228,  225
  38,   36
 220,  216
 193,  192
  75,   68
  26,   23
  67,   69
 146,  136
  91,   98
 148,  152
  97,   90
 199,  198
 113,  124
 155,  164
 111,  109
 184,  179
 182,  185
  39,   47
  30,   26
  15,   19
 190,  181
 219,  224
   2,    1
 187,  176
  20,   26
 204,  197
 141,  135
 208,  204
 197,  189
  17,   14
  54,   55
  78,   83
 246,  246
  97,   86
 227,  221
  17,   18
 223,  228
  94,   93
 174,  167
 119,  119
  94,   91
 179,  171
 175,  182
 204,  207
 139,  130
   8,    5
   9,    8
  95,   96
 124,  133
  15,   15
 227,  227
 216,  217
  83,   73
 237,  242
   9,    6
  26,   36
  15,   14
  66,   63
 158,  153
 189,  181
  19,   16
  11,    8
  16,   21
 107,   99
 180,  164
 107,  104
 221,  223
 157,  157
  53,   47
  81,   58
  51,   47
  79,   99
 242,  240
  69,   77
 232,  235
 199,  201
  54,   44
 138,  148
 247,  245
 249,  249
  17,   23
 120,  112
 228,  228
  27,   27
 211,  215
  57,   63
 217,  224
 102,   99
 141,  144
  33,   30
 146,  159
 194,  201
  42,   48
  93,   95
 199,  199
  22,   24
  70,   67
 239,  240
 242,  243
  34,   45
 231,  239
 223,  221
  91,  103
  71,   66
  77,   80
 245,  246
 168,  163
  10,   11
   3,    4
   2,    2
 127,  119
 225,  228
  13,   11
 239,  234
 136,  135
