This is a 250 shot experiment on the Troffoli Gate with 1000 loops
Pre:, Act: 
 107,  120
 102,  109
 151,  168
  99,  102
 153,  152
  40,   43
 220,  219
  58,   50
 134,  139
  12,   11
  97,   94
 170,  168
 236,  236
 139,  146
 163,  168
 185,  185
  71,   80
  64,   57
  82,   84
 117,  109
  46,   44
  17,   12
  90,  100
 118,  117
 124,  129
  85,   91
 205,  211
 233,  228
 214,  208
 135,  143
 172,  175
  94,  101
  26,   21
 125,  127
  33,   21
  94,   83
 227,  224
 191,  187
  91,   94
 107,  103
 125,  123
  85,   72
  56,   49
 166,  178
  45,   37
 162,  165
  17,   13
 104,   92
  56,   59
  98,   91
 104,  103
 239,  243
 121,  117
 223,  226
 200,  204
 230,  234
  33,   31
  37,   34
  22,   25
 146,  159
 109,  115
 164,  145
 201,  204
 125,  114
 153,  162
 229,  240
 134,  138
 225,  228
 245,  244
 240,  241
 111,  111
 171,  166
 169,  176
 242,  244
 179,  175
 144,  131
 149,  156
 158,  151
  55,   54
 164,  160
 133,  145
  88,   88
  78,  101
  38,   35
 107,  104
  13,   11
 124,  135
 212,  212
  11,    9
 191,  196
 108,  105
 167,  171
 130,  131
 202,  207
 108,  112
  83,   70
 102,  108
  15,   13
 123,  107
 124,  131
  88,   90
 154,  150
 111,  116
  21,   21
 196,  198
 225,  225
 156,  156
  32,   31
 184,  188
 249,  250
  23,   25
 201,  204
 236,  238
  80,   82
 128,  132
 229,  232
 117,  120
 107,   94
  98,   93
  19,   21
 164,  171
  95,   91
 160,  169
  56,   59
 137,  132
 232,  233
 141,  139
 137,  130
  26,   34
 123,  137
 136,  147
  79,   65
  78,   79
 162,  150
 239,  241
  95,   99
  46,   44
 106,  114
 209,  217
 158,  160
  90,  100
 132,  149
 122,  115
  27,   34
 119,  109
 134,  133
 208,  212
 229,  230
 127,  139
  34,   34
 159,  158
  84,   79
  46,   56
 178,  175
 134,  128
  86,   82
  57,   58
 246,  248
  35,   43
 162,  173
  52,   52
 153,  156
 179,  179
   1,    4
  18,   24
 135,  130
 124,  122
 141,  148
 232,  232
 129,  138
 122,  115
 105,  120
 132,  118
 123,  130
 136,  137
 119,  127
 124,  124
  93,   99
 109,  107
  85,   89
  28,   31
 183,  173
 136,  126
  93,   92
 243,  246
 144,  164
  53,   61
 124,  119
   5,    4
  92,  103
 157,  160
 201,  202
  88,   74
 119,  114
  49,   50
  81,   94
 168,  165
  18,   19
  85,   94
 171,  175
 228,  224
  64,   63
 118,  114
 134,  132
  40,   37
  43,   51
 110,  112
 184,  175
 233,  235
 187,  197
 211,  198
 104,   98
 114,  118
 114,  115
  62,   58
 170,  174
  58,   72
 150,  141
 167,  158
 151,  159
 179,  170
 123,  127
 124,  121
  26,   17
 182,  179
 104,   97
 203,  217
 103,  110
  15,   14
 167,  156
 162,  156
 207,  199
  59,   65
 121,  107
 113,  126
 200,  198
 129,  127
 111,  114
 163,  159
 144,  142
 201,  211
 226,  224
  78,   88
 105,   89
 166,  167
 193,  182
 229,  232
 111,  103
 132,  123
 151,  162
  32,   29
  68,   70
   1,    2
 100,  103
 140,  136
 151,  133
 141,  144
 130,  122
  55,   55
 185,  174
 168,  160
 138,  144
 133,  133
 166,  166
 127,  111
 181,  175
 142,  142
 140,  130
 135,  130
 115,  117
 229,  230
 158,  169
  27,   32
 193,  185
 229,  231
 179,  179
 166,  159
