!! Random Numbers that are used for u3
!! Theta Gate rotation, then a Troffoli Gate
!! Across the two input Qubits

Pre:, Act:
 946,  949
 507,  509
  54,   47
 470,  486
 500,  485
 470,  462
 505,  500
 509,  472
 461,  434
 416,  434
 191,  201
 810,  813
 856,  835
 420,  417
 497,  502
 450,  477
 373,  392
 304,  309
 615,  597
 337,  311
 656,  673
 765,  785
 841,  839
 318,  311
 752,  758
 123,  126
 500,  511
 172,  161
 315,  318
 590,  606
  12,   13
  56,   46
 595,  588
 651,  649
  44,   50
 286,  317
 961,  954
 283,  311
 641,  651
 811,  786
 732,  765
 693,  688
  97,   93
 418,  443
 728,  736
 699,  713
 190,  219
 742,  756
 356,  362
 950,  951
 610,  617
 925,  928
 197,  174
 927,  921
 522,  509
 689,  690
 286,  269
 161,  165
 754,  778
 162,  161
 797,  798
 376,  388
 460,  475
 578,  579
 180,  184
 728,  719
 118,  113
 363,  375
 452,  457
 745,  761
 738,  734
 877,  883
 793,  778
 501,  514
 148,  152
 760,  755
 557,  560
 652,  648
 444,  427
 706,  684
 354,  362
 517,  527
 348,  351
 919,  917
 209,  225
 319,  335
  81,   77
 232,  201
  33,   35
 566,  586
 469,  484
 596,  597
 531,  536
 545,  556
  47,   42
 762,  755
 311,  302
 971,  982
 720,  742
 543,  554
